,,,Overall,Overall,Overall,Conference,Conference,Conference,,,,,,,,,,
Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
77,1944-45,Big Ten,10,11,.476,3,9,.250,,,,,,,,,,Harry Good (10-11)
78,1943-44,Big Ten,7,15,.318,2,10,.167,,,,,,,,,,Harry Good (7-15)
79,1942-43,Big Ten,18,2,.900,11,2,.846,,,,,,,,,,Branch McCracken (18-2)
80,1941-42,Big Ten,15,6,.714,10,5,.667,,,,,,,,,,Branch McCracken (15-6)
81,1940-41,Big Ten,17,3,.850,10,2,.833,,,,,,,,,,Branch McCracken (17-3)
82,1939-40,Big Ten,20,3,.870,9,3,.750,,,,,,,,Won National Final,,Branch McCracken (20-3)
83,1938-39,Big Ten,17,3,.850,9,3,.750,,,,,,,,,,Branch McCracken (17-3)
84,1937-38,Big Ten,10,10,.500,4,8,.333,,,,,,,,,,Everett Dean (10-10)
85,1936-37,Big Ten,13,7,.650,6,6,.500,,,,,,,,,,Everett Dean (13-7)
86,1935-36,Big Ten,18,2,.900,11,1,.917,,,,,,,,,,Everett Dean (18-2)
87,1934-35,Big Ten,14,6,.700,8,4,.667,,,,,,,,,,Everett Dean (14-6)
88,1933-34,Big Ten,13,7,.650,6,6,.500,,,,,,,,,,Everett Dean (13-7)
89,1932-33,Big Ten,10,8,.556,6,6,.500,,,,,,,,,,Everett Dean (10-8)
90,1931-32,Big Ten,8,10,.444,4,8,.333,,,,,,,,,,Everett Dean (8-10)
91,1930-31,Big Ten,9,8,.529,5,7,.417,,,,,,,,,,Everett Dean (9-8)
92,1929-30,Big Ten,8,9,.471,7,5,.583,,,,,,,,,,Everett Dean (8-9)
93,1928-29,Big Ten,7,10,.412,4,8,.333,,,,,,,,,,Everett Dean (7-10)
94,1927-28,Big Ten,15,2,.882,10,2,.833,,,,,,,,,,Everett Dean (15-2)
95,1926-27,Big Ten,13,4,.765,9,3,.750,,,,,,,,,,Everett Dean (13-4)
96,1925-26,Big Ten,12,5,.706,8,4,.667,,,,,,,,,,Everett Dean (12-5)
97,1924-25,Big Ten,12,5,.706,8,4,.667,,,,,,,,,,Everett Dean (12-5)
98,1923-24,Big Ten,11,6,.647,7,5,.583,,,,,,,,,,Leslie Mann (11-6)
99,1922-23,Big Ten,8,7,.533,5,7,.417,,,,,,,,,,Leslie Mann (8-7)
100,1921-22,Big Ten,10,10,.500,3,7,.300,,,,,,,,,,George Lewis (10-10)
101,1920-21,Big Ten,15,6,.714,6,5,.545,,,,,,,,,,George Lewis (15-6)
102,1919-20,Big Ten,13,8,.619,6,4,.600,,,,,,,,,,Jumbo Stiehm (13-8)
103,1918-19,Big Ten,10,7,.588,4,6,.400,,,,,,,,,,Dana Evans (10-7)
104,1917-18,Big Ten,10,4,.714,3,3,.500,,,,,,,,,,Dana Evans (10-4)
105,1916-17,Western,13,6,.684,3,5,.375,,,,,,,,,,Guy Lowman (13-6)
106,1915-16,Western,6,7,.462,3,5,.375,,,,,,,,,,Allan Willisford (6-7)
107,1914-15,Western,4,9,.308,1,9,.100,,,,,,,,,,Arthur Berndt (4-9)
108,1913-14,Western,2,12,.143,1,11,.083,,,,,,,,,,Arthur Berndt (2-12)
109,1912-13,Western,5,11,.313,0,10,.000,,,,,,,,,,Arthur Powell (5-11)
110,1911-12,Western,6,11,.353,1,9,.100,,,,,,,,,,James Kase (6-11)
111,1910-11,Western,11,5,.688,5,5,.500,,,,,,,,,,Oscar Rackle (11-5)
112,1909-10,Western,5,8,.385,3,7,.300,,,,,,,,,,John Georgen (5-8)
113,1908-09,Western,5,9,.357,2,6,.250,,,,,,,,,,Robert Harris (5-9)
114,1907-08,Western,9,6,.600,,,,,,,,,,,,,Eddie Cook (9-6)
115,1906-07,Western,9,5,.643,,,,,,,,,,,,,James Sheldon (9-5)
116,1905-06,Western,7,9,.438,2,2,.500,,,,,,,,,,Zora Clevenger (7-9)
117,1904-05,Western,5,12,.294,,,,,,,,,,,,,Zora Clevenger (5-12)
118,1903-04,Western,5,4,.556,,,,,,,,,,,,,Willis Coval (5-4)
119,1902-03,Western,8,4,.667,,,,,,,,,,,,,Willis Coval (8-4)
120,1901-02,Western,4,4,.500,,,,,,,,,,,,,Phelps Darby (4-4)
121,1900-01,Western,1,4,.200,,,,,,,,,,,,,James Horne (1-4)
